Date,SHY,IEF,TLT
2018-04-23,69.18302154541016,83.17402648925781,93.43706512451172
2018-04-24,69.19963073730469,83.07569122314453,93.01124572753906
2018-04-25,69.19132995605469,82.89533233642578,92.38827514648438
2018-04-26,69.20794677734375,83.13300323486328,93.03491973876953
2018-04-27,69.22457885742188,83.27239227294922,93.75248718261719
2018-04-30,69.19963073730469,83.3625717163086,93.91808319091797
2018-05-01,69.16883850097656,83.23199462890625,93.57984924316406
2018-05-02,69.19380187988281,83.2483901977539,93.47709655761719
2018-05-03,69.24372863769531,83.46192169189453,93.89598083496094
2018-05-04,69.21876525878906,83.47010803222656,94.03824615478516
2018-05-07,69.21876525878906,83.42908477783203,93.88809204101562
2018-05-08,69.22710418701172,83.28943634033203,93.8011245727539
2018-05-09,69.19380187988281,83.10057830810547,93.2400131225586
2018-05-10,69.19380187988281,83.27304077148438,93.99080657958984
2018-05-11,69.19380187988281,83.28126525878906,94.22785186767578
2018-05-14,69.19380187988281,83.10057830810547,93.72997283935547
2018-05-15,69.15219116210938,82.64067077636719,92.66307067871094
2018-05-16,69.15219116210938,82.46820831298828,92.30744934082031
2018-05-17,69.16883850097656,82.41898345947266,91.8411636352539
2018-05-18,69.20215606689453,82.73924255371094,92.63152313232422
2018-05-21,69.20215606689453,82.79672241210938,92.67891693115234
2018-05-22,69.20215606689453,82.76390838623047,92.53666687011719
2018-05-23,69.26039123535156,83.14163970947266,93.20841217041016
2018-05-24,69.3019790649414,83.35518646240234,93.9512710571289
2018-05-25,69.36024475097656,83.68367004394531,94.53610229492188
2018-05-29,69.5599136352539,84.58698272705078,96.60670471191406
2018-05-30,69.47672271728516,84.22564697265625,95.9586410522461
2018-05-31,69.4434585571289,84.18460083007812,95.80059814453125
2018-06-01,69.3901138305664,83.87358856201172,95.2944564819336
2018-06-04,69.33172607421875,83.57735443115234,94.60527801513672
2018-06-05,69.37342071533203,83.79126739501953,94.82707214355469
2018-06-06,69.34841918945312,83.45391082763672,94.05866241455078
2018-06-07,69.41511535644531,83.80773162841797,94.96961975097656
2018-06-08,69.39839935302734,83.69259643554688,94.68446350097656
2018-06-11,69.37342071533203,83.61026000976562,94.51020050048828
2018-06-12,69.34008026123047,83.56085968017578,94.533935546875
2018-06-13,69.30677032470703,83.462158203125,94.48638916015625
2018-06-14,69.33172607421875,83.72541046142578,95.27066040039062
2018-06-15,69.3650894165039,83.79126739501953,95.35774993896484
2018-06-18,69.38175964355469,83.8324203491211,95.27066040039062
2018-06-19,69.40674591064453,84.05462646484375,95.82516479492188
2018-06-20,69.37342071533203,83.78304290771484,94.98548889160156
2018-06-21,69.41511535644531,84.00523376464844,95.48454284667969
2018-06-22,69.42339324951172,84.02169799804688,95.47660827636719
2018-06-25,69.44843292236328,84.13687896728516,95.69049835205078
2018-06-26,69.44843292236328,84.17802429199219,95.82516479492188
2018-06-27,69.49009704589844,84.49897003173828,96.72816467285156
2018-06-28,69.49009704589844,84.4166488647461,96.75196075439453
2018-06-29,69.47341918945312,84.350830078125,96.41925811767578
2018-07-02,69.4650650024414,84.2931137084961,96.34382629394531
2018-07-03,69.49012756347656,84.50746154785156,96.85987091064453
2018-07-05,69.48179626464844,84.51567077636719,97.13773345947266
2018-07-06,69.49845886230469,84.58988189697266,97.45536041259766
2018-07-09,69.45672607421875,84.37555694580078,96.82811737060547
2018-07-10,69.44837951660156,84.30961608886719,96.82015991210938
2018-07-11,69.47341918945312,84.48270416259766,97.19334411621094
2018-07-12,69.4650650024414,84.44973754882812,97.18537902832031
2018-07-13,69.48179626464844,84.58988189697266,97.4315185546875
2018-07-16,69.4650650024414,84.44973754882812,97.0265884399414
2018-07-17,69.45672607421875,84.40027618408203,96.84403228759766
2018-07-18,69.44837951660156,84.33433532714844,96.45500183105469
2018-07-19,69.48179626464844,84.56517791748047,97.06631469726562
2018-07-20,69.48179626464844,84.26839447021484,95.87540435791016
2018-07-23,69.4400405883789,83.85616302490234,94.69243621826172
2018-07-24,69.44837951660156,83.91387939453125,95.01792907714844
2018-07-25,69.4233169555664,83.85616302490234,94.86709594726562
2018-07-26,69.4233169555664,83.76551818847656,94.68449401855469
2018-07-27,69.43167877197266,83.89739990234375,94.84331512451172
2018-07-30,69.43167877197266,83.79025268554688,94.51779174804688
2018-07-31,69.43167877197266,83.90567016601562,95.0338363647461
2018-08-01,69.43839263916016,83.70740509033203,94.25955963134766
2018-08-02,69.48017883300781,83.80653381347656,94.3948974609375
2018-08-03,69.488525390625,84.02129364013672,94.86432647705078
2018-08-06,69.5052719116211,84.06259155273438,94.92001342773438
2018-08-07,69.48017883300781,83.88914489746094,94.42669677734375
2018-08-08,69.488525390625,83.9634780883789,94.522216796875
2018-08-09,69.53036499023438,84.19480895996094,95.31791687011719
2018-08-10,69.59725189208984,84.5582046508789,96.01017761230469
2018-08-13,69.58049774169922,84.5334243774414,95.81126403808594
2018-08-14,69.58049774169922,84.45082092285156,95.596435546875
2018-08-15,69.61392211914062,84.65728759765625,96.15337371826172
2018-08-16,69.59725189208984,84.6325454711914,96.14547729492188
2018-08-17,69.62230682373047,84.66558837890625,96.2647933959961
2018-08-20,69.66410064697266,84.92989349365234,96.90931701660156
2018-08-21,69.64737701416016,84.81427764892578,96.58309173583984
2018-08-22,69.66410064697266,84.97119140625,96.96504211425781
2018-08-23,69.65576934814453,84.96297454833984,97.11621856689453
2018-08-24,69.66410064697266,84.98770141601562,97.30718231201172
2018-08-27,69.63903045654297,84.79772186279297,96.75019073486328
2018-08-28,69.61392211914062,84.60771942138672,96.16931915283203
2018-08-29,69.6055908203125,84.58299255371094,96.29662322998047
2018-08-30,69.65576934814453,84.73992156982422,96.50354766845703
2018-08-31,69.6724624633789,84.75646209716797,96.28070831298828
2018-09-04,69.65653991699219,84.56278228759766,95.72401428222656
2018-09-05,69.65653991699219,84.55450439453125,95.46887969970703
2018-09-06,69.68170166015625,84.72830963134766,95.81973266601562
2018-09-07,69.60633850097656,84.34756469726562,95.00631713867188
2018-09-10,69.61469268798828,84.39726257324219,95.35723876953125
2018-09-11,69.57282257080078,84.09098815917969,94.6314697265625
2018-09-12,69.57282257080078,84.1902847290039,94.85477447509766
2018-09-13,69.58123016357422,84.18205261230469,94.99832916259766
2018-09-14,69.55606079101562,84.02478790283203,94.5437240600586
2018-09-17,69.53934478759766,84.04133605957031,94.5437240600586
2018-09-18,69.53095245361328,83.6937255859375,93.5548324584961
2018-09-19,69.51422119140625,83.55298614501953,92.99661254882812
2018-09-20,69.53934478759766,83.56128692626953,93.42725372314453
2018-09-21,69.5225830078125,83.59437561035156,93.3873519897461
2018-09-24,69.5225830078125,83.50335693359375,93.14808654785156
2018-09-25,69.53095245361328,83.42059326171875,93.05244445800781
2018-09-26,69.53934478759766,83.6937255859375,93.70639038085938
2018-09-27,69.53934478759766,83.6937255859375,93.7701416015625
2018-09-28,69.57282257080078,83.73504638671875,93.5229263305664
2018-10-01,69.55352020263672,83.52278900146484,92.83637237548828
2018-10-02,69.57872772216797,83.7384262084961,93.40387725830078
2018-10-03,69.545166015625,83.116455078125,91.78133392333984
2018-10-04,69.52836608886719,82.90078735351562,91.1339111328125
2018-10-05,69.51998901367188,82.70173645019531,90.35059356689453
2018-10-08,69.50320434570312,82.73490142822266,90.04690551757812
2018-10-09,69.52836608886719,82.89248657226562,90.95805358886719
2018-10-10,69.545166015625,82.93395233154297,90.71031951904297
2018-10-11,69.57029724121094,83.27394104003906,91.81330871582031
2018-10-12,69.57029724121094,83.17447662353516,91.49359893798828
2018-10-15,69.59546661376953,83.22421264648438,91.45361328125
2018-10-16,69.57029724121094,83.2159194946289,91.66143798828125
2018-10-17,69.57029724121094,82.97542572021484,91.11793518066406
2018-10-18,69.61223602294922,83.12470245361328,91.08594512939453
2018-10-19,69.57029724121094,83.02515411376953,90.88612365722656
2018-10-22,69.55352020263672,83.04177856445312,90.7662353515625
2018-10-23,69.59546661376953,83.25740814208984,91.05394744873047
2018-10-24,69.70447540283203,83.7052230834961,91.74137878417969
2018-10-25,69.67935943603516,83.50619506835938,91.35768127441406
2018-10-26,69.72126770019531,83.87940216064453,91.9092025756836
2018-10-29,69.7464370727539,83.87107849121094,91.70140075683594
2018-10-30,69.7128677368164,83.68866729736328,91.24583435058594
2018-10-31,69.67935943603516,83.48130798339844,90.78221893310547
2018-11-01,69.7179946899414,83.55278778076172,90.86637115478516
2018-11-02,69.63397979736328,83.08736419677734,89.73664093017578
2018-11-05,69.6591796875,83.1372299194336,90.08917236328125
2018-11-06,69.64236450195312,83.04579162597656,90.03309631347656
2018-11-07,69.6171646118164,83.04579162597656,90.15325927734375
2018-11-08,69.60877227783203,82.92942810058594,90.14525604248047
2018-11-09,69.64236450195312,83.25361633300781,90.81826782226562
2018-11-12,69.69277954101562,83.5029296875,91.41118621826172
2018-11-13,69.70121002197266,83.56941986083984,91.3551025390625
2018-11-14,69.75157165527344,83.74395751953125,91.41118621826172
2018-11-15,69.78519439697266,83.80213928222656,91.37113189697266
2018-11-16,69.8355941772461,84.05977630615234,91.8998794555664
2018-11-19,69.8944091796875,84.18443298339844,92.15630340576172
